TPCH,Snowflake,PowerBI Datamart,SingleStore,BigQuery,Databricks,DuckDB
'--Query01,1.5,1.69425,0.99,0.349,1.43,2.925584
'--Query02,1.37,0.24475,0.56,1.866,1.47,0.587252
'--Query03,0.88,0.48125,0.67,1.6245,2.79,1.929619
'--Query04,0.78,0.317,1.33,1.1675,2.31,2.076801
'--Query05,1.14,0.35625,0.69,2.822,4.73,1.741391
'--Query06,0.36,0.028,0.38,0.223,0.848,1.367892
'--Query07,1.09,0.23875,1.53,1.716,3.42,3.230886
'--Query08,1.25,0.2905,0.49,1.83,2.67,2.335001
'--Query09,1.81,2.11075,3.16,1.9955,3.79,18.031278
'--Query10,1.23,3.57475,1.8,1.946,3.34,2.350712
'--Query11,0.62,0.08725,0.19,1.087,0.866,0.361263
'--Query12,0.92,0.127,0.4,1.042,1.95,2.919569
'--Query13,2.18,12.7005,7.47,1.238,2.5,1.317222
'--Query14,0.44,0.15,0.35,0.9795,1.34,1.684677
'--Query15,0.79,0.13975,1.18,0.802,1.91,3.697779
'--Query16,0.76,4.69775,1.41,4.463,1.6,0.846283
'--Query17,0.7,0.12975,0.46,2.814,3.27,4.692349
'--Query18,1.58,2.11775,2.72,2.289,5.46,5.46211
'--Query19,0.68,0.06775,0.43,0.6835,1.44,3.187931
'--Query20,0.83,0.799,4.55,1.0595,2.37,2.302849
'--Query21,1.44,0.62375,1.58,1.767,7.6,7.64953
'--Query22,0.77,0.179,0.83,1.25,1.32,0.653454
