TPCH,Snowflake,SingleStore,BigQuery,Databricks,DuckDB,Synapse Serverless
'--Query01,1.5,0.99,0.31,1.43,5.393445,38.362
'--Query02,1.37,0.56,1.834,1.47,0.843777,16.809
'--Query03,0.88,0.67,1.567,2.79,3.492776,28.20427273
'--Query04,0.78,1.33,0.965,2.31,4.707213,38.29727273
'--Query05,1.14,0.69,2.941,4.73,3.883179,48.79633333
'--Query06,0.36,0.38,0.225,0.848,2.845355,52.9135
'--Query07,1.09,1.53,1.885,3.42,6.794438,61.539125
'--Query08,1.25,0.49,1.949,2.67,4.472477,74.279625
'--Query09,1.81,3.16,1.951,3.79,27.101742,85.75377778
'--Query10,1.23,1.8,1.581,3.34,3.932361,103.7888889
'--Query11,0.62,0.19,0.986,0.866,0.613395,104.8548889
'--Query12,0.92,0.4,0.698,1.95,4.853902,113.4632222
'--Query13,2.18,7.47,1.1545,2.5,3.271795,118.8673077
'--Query14,0.44,0.35,0.879,1.34,3.295735,166.832875
'--Query15,0.79,1.18,0.781,1.91,6.634146,124.785875
'--Query16,0.76,1.41,4.4305,1.6,1.020363,155.9257778
'--Query17,0.7,0.46,2.484,3.27,5.412079,181.965375
'--Query18,1.58,2.72,2.4615,5.46,6.935358,195.20025
'--Query19,0.68,0.43,0.346,1.44,4.846258,179.2561111
'--Query20,0.83,4.55,1.0495,2.37,3.496862,168.7155
'--Query21,1.44,1.58,1.7745,7.6,12.389197,195.6228889
'--Query22,0.77,0.83,1.2525,1.32,1.157418,199.2664444
,23.12,33.17,33.505,58.424,117.393271,2453.500311
