TPCH,Snowflake (Native),BigQuery(Native),RedShift(Native),BigQuery (Parquet),Trino (Parquet),Synapse (Parquet),Databricks (Native),hyper (Native),DuckDB (Parquet)
1,6.994666666666667,2.077,15.43187667,10.777,10.686,23.350333333333335,7.41,17.18262267112732,22.936180114746
2,3.5086666666666666,4.971,27.97874467,7.675,5.952500000000001,41.72533333333334,15.73,6.172731161117554,8.427250623703
3,3.911,5.372,3.648000667,15.314,11.142,37.84233333333333,25.83,14.267503261566162,16.1324775218963
4,3.8176666666666663,3.104,1.81973,8.992,8.5135,62.129999999999995,29.02,17.17249059677124,30.3116931915283
5,5.700666666666667,10.743,2.880673667,12.527,14.4185,17.306666666666644,57.18,19.923407316207886,28.5420212745666
6,0.38866666666666666,0.785,0.396908,3.892,2.58,10.963333333333367,0.893,0.6273391246795654,2.63828635215759
7,4.152,3.363,3.529426,18.143,23.848,11.294666666666643,24.62,9.083648443222046,44.4404926300048
8,3.951,12.047,2.374216667,15.673,30.007,18.162000000000006,15.77,11.11404275894165,30.5181167125701
9,8.044,6.887,6.988858333,16.099,37.172,30.11433333333335,44.16,36.08943319320679,78.5959200859069
10,9.119,4.289,3.613828333,13.284,9.536,47.50433333333331,25.17,21.77272367477417,19.5732061862945
11,1.2433333333333334,2.913,0.700923,12.509,7.019,16.173333333333346,12.7,2.324084520339966,4.38109540939331
12,1.6606666666666667,1.487,1.622724,4.142,5.35,15.59033333333332,12.75,10.45216965675354,8.33109068870544
13,8.9715,4.577,6.523660333,10.337,8.977,19.571000000000026,25.82,65.51695537567139,25.2469310760498
14,0.9055,1.211,1.116808333,6.35,1.821,13.294333333333327,3.21,7.630138397216797,2.63200592994689
15,1.797,2.772,1.453118333,7.465,4.318,5.588999999999999,5.09,5.5513529777526855,4.55331897735595
16,4.7715,6.896,1.808659333,13.012,4.136,30.137333333333345,7.27,5.110839605331421,4.92480158805847
17,2.6225,9.507,1.444940667,21.446,25.256,22.750666666666632,99.6,24.08917260169983,72.5051896572113
18,16.963,17.205,47.09592733,48.357,40.419,56.73866666666669,94.2,,131.368780136108
19,2.792,1.451,5.421843333,11.567,7.665,22.292333333333318,6.66,7.249908685684204,24.6245656013488
20,1.4645,4.796,2.750811667,9.062,7.638,28.019666666666637,20.2,5.3154003620147705,20.7155916690826
21,10.7535,17.69,10.15324967,26.005,57.928,33.569000000000074,124.2,46.56257677078247,
22,1.545,1.607,2.103871,7.803,3.13,38.900999999999954,9.11,6.4549665451049805,
